lsoa21cd,lsoa21nm
E01003963,Southwark 016A
E01003971,Southwark 015D
E01003972,Southwark 016D
E01003973,Southwark 016E
E01003975,Southwark 004A
E01003991,Southwark 017C
E01003992,Southwark 014A
E01003993,Southwark 017D
E01003995,Southwark 014B
E01003997,Southwark 017E
E01003998,Southwark 014D
E01004003,Southwark 023B
E01004007,Southwark 018E
E01004008,Southwark 022B
E01004019,Southwark 026C
E01004024,Southwark 011C
E01004036,Southwark 007E
E01004044,Southwark 013E
E01004045,Southwark 027A
E01004065,Southwark 025D
E01004071,Southwark 030D
E01032637,Southwark 035E
E01032638,Southwark 035D
E01032639,Southwark 014F
E01032640,Southwark 035B
E01032719,Southwark 014G
E01032803,Southwark 036C
E01032834,Southwark 035C
E01033870,Southwark 004G
E01033872,Southwark 004I
E01033874,Southwark 009H
E01033875,Southwark 012G
E01033876,Southwark 012H
E01033882,Southwark 022G
E01033883,Southwark 022H
E01033885,Southwark 036A
E01003911,Southwark 020A
E01003914,Southwark 024B
E01003915,Southwark 024C
E01003917,Southwark 020C
E01003922,Southwark 021D
E01003930,Southwark 034A
E01003942,Southwark 006D
E01003952,Southwark 030A
E01003955,Southwark 028B
E01003956,Southwark 030C
E01003960,Southwark 012A
E01003976,Southwark 036D
E01003977,Southwark 010A
E01003979,Southwark 006E
E01003980,Southwark 013A
E01003999,Southwark 014E
E01004010,Southwark 022D
E01004013,Southwark 019D
E01004014,Southwark 019E
E01004021,Southwark 028D
E01004023,Southwark 004D
E01004030,Southwark 007A
E01004032,Southwark 001B
E01004034,Southwark 007D
E01004037,Southwark 010B
E01004042,Southwark 010D
E01004043,Southwark 010E
E01004047,Southwark 027B
E01004051,Southwark 027E
E01004060,Southwark 008E
E01004066,Southwark 025E
E01032584,Southwark 034E
E01032646,Southwark 036B
E01033871,Southwark 004H
E01033877,Southwark 012I
E01033878,Southwark 015F
E01033879,Southwark 015G
E01003916,Southwark 020B
E01003918,Southwark 020D
E01003920,Southwark 021B
E01003932,Southwark 034B
E01003947,Southwark 033C
E01003957,Southwark 032C
E01003961,Southwark 012B
E01003990,Southwark 018D
E01003994,Southwark 012E
E01004001,Southwark 026B
E01004011,Southwark 019B
E01004012,Southwark 019C
E01004028,Southwark 004E
E01004039,Southwark 013B
E01004040,Southwark 013C
E01004049,Southwark 027D
E01004054,Southwark 001D
E01004055,Southwark 001E
E01033873,Southwark 009G
E01003913,Southwark 024A
E01003939,Southwark 002E
E01003966,Southwark 015B
E01003981,Southwark 006F
E01003983,Southwark 018A
E01004035,Southwark 011D
E01004041,Southwark 013D
E01004046,Southwark 028E
E01004050,Southwark 024D
E01004058,Southwark 008C
E01033868,Southwark 002G
E01033884,Southwark 035A
E01003921,Southwark 021C
E01003935,Southwark 002D
E01003986,Southwark 011A
E01003987,Southwark 011B
E01004002,Southwark 029A
E01004005,Southwark 023D
E01004006,Southwark 023E
E01004020,Southwark 029D
E01004029,Southwark 001A
E01004038,Southwark 010C
E01032583,Southwark 034D
E01033869,Southwark 004F
E01003984,Southwark 023A
E01004053,Southwark 001C
E01004067,Southwark 022E
E01033880,Southwark 015H
E01003919,Southwark 021A
E01003933,Southwark 034C
E01003953,Southwark 028A
E01004004,Southwark 023C
E01004068,Southwark 026E
E01004059,Southwark 008D
E01004056,Southwark 008A
E01033867,Southwark 002F
E01004033,Southwark 007C
E01003934,Southwark 002C
E01004063,Southwark 025C
E01004064,Southwark 026D
E01003949,Southwark 032A
E01003950,Southwark 032B
E01004000,Southwark 026A
E01004018,Southwark 032E
E01004074,Southwark 031D
E01004017,Southwark 029C
E01004072,Southwark 030E
E01003969,Southwark 017B
E01004073,Southwark 031C
E01033881,Southwark 016F
E01003989,Southwark 018C
E01004057,Southwark 008B
E01004048,Southwark 027C
E01004016,Southwark 029B
E01004061,Southwark 025A
E01003929,Southwark 002B
E01003948,Southwark 033D
E01003988,Southwark 018B
E01004015,Southwark 028C
E01004052,Southwark 024E
E01004062,Southwark 025B
E01004031,Southwark 007B
E01004070,Southwark 031B
E01004075,Southwark 031E
E01004069,Southwark 031A
E01003946,Southwark 033B
E01003945,Southwark 033A
E01003951,Southwark 033E
E01004198,Tower Hamlets 002B
E01004199,Tower Hamlets 002C
E01004200,Tower Hamlets 005A
E01004202,Tower Hamlets 005B
E01004204,Tower Hamlets 005D
E01004207,Tower Hamlets 011A
E01004209,Tower Hamlets 011B
E01004212,Tower Hamlets 011D
E01004214,Tower Hamlets 030A
E01032767,Tower Hamlets 021F
E01004326,Tower Hamlets 017D
E01004324,Tower Hamlets 017C
E01004323,Tower Hamlets 017B
E01004316,Tower Hamlets 009C
E01004311,Tower Hamlets 006A
E01004310,Tower Hamlets 015E
E01004308,Tower Hamlets 015C
E01004305,Tower Hamlets 022D
E01004304,Tower Hamlets 022C
E01004302,Tower Hamlets 025C
E01004300,Tower Hamlets 022B
E01004298,Tower Hamlets 022A
E01004295,Tower Hamlets 026C
E01004287,Tower Hamlets 016B
E01004275,Tower Hamlets 031B
E01004272,Tower Hamlets 014D
E01004268,Tower Hamlets 012E
E01004266,Tower Hamlets 007D
E01004264,Tower Hamlets 010C
E01004263,Tower Hamlets 007C
E01004260,Tower Hamlets 007B
E01004258,Tower Hamlets 023D
E01004255,Tower Hamlets 023C
E01004251,Tower Hamlets 023A
E01004247,Tower Hamlets 020C
E01004244,Tower Hamlets 020B
E01004243,Tower Hamlets 020A
E01004240,Tower Hamlets 012A
E01004237,Tower Hamlets 008C
E01004236,Tower Hamlets 008B
E01004235,Tower Hamlets 008A
E01004233,Tower Hamlets 003D
E01004231,Tower Hamlets 004D
E01004230,Tower Hamlets 003B
E01004229,Tower Hamlets 004C
E01004226,Tower Hamlets 001D
E01032768,Tower Hamlets 025E
E01032770,Tower Hamlets 032B
E01032772,Tower Hamlets 032C
E01032776,Tower Hamlets 034D
E01032779,Tower Hamlets 035C
E01032784,Tower Hamlets 004G
E01032785,Tower Hamlets 010E
E01032786,Tower Hamlets 010F
E01035658,Tower Hamlets 001F
E01035660,Tower Hamlets 002E
E01035661,Tower Hamlets 002F
E01035662,Tower Hamlets 004H
E01035663,Tower Hamlets 004I
E01035666,Tower Hamlets 008G
E01035669,Tower Hamlets 009F
E01035671,Tower Hamlets 012F
E01035672,Tower Hamlets 012G
E01035673,Tower Hamlets 012H
E01035674,Tower Hamlets 014F
E01035675,Tower Hamlets 014G
E01035677,Tower Hamlets 014I
E01035680,Tower Hamlets 019E
E01035682,Tower Hamlets 019G
E01035683,Tower Hamlets 019H
E01035684,Tower Hamlets 020E
E01035685,Tower Hamlets 020F
E01035686,Tower Hamlets 021G
E01035687,Tower Hamlets 021H
E01035688,Tower Hamlets 021I
E01035689,Tower Hamlets 021J
E01035690,Tower Hamlets 023E
E01035692,Tower Hamlets 024E
E01035693,Tower Hamlets 024F
E01035695,Tower Hamlets 024H
E01035698,Tower Hamlets 032F
E01035699,Tower Hamlets 032G
E01035700,Tower Hamlets 034A
E01035701,Tower Hamlets 034B
E01035703,Tower Hamlets 036B
E01035704,Tower Hamlets 036C
E01035706,Tower Hamlets 036E
E01004201,Tower Hamlets 002D
E01004206,Tower Hamlets 013B
E01004232,Tower Hamlets 003C
E01004239,Tower Hamlets 008E
E01004257,Tower Hamlets 024D
E01004271,Tower Hamlets 014C
E01004274,Tower Hamlets 031A
E01004276,Tower Hamlets 031C
E01004283,Tower Hamlets 016A
E01004288,Tower Hamlets 019D
E01004289,Tower Hamlets 016C
E01004296,Tower Hamlets 026D
E01004301,Tower Hamlets 025B
E01004312,Tower Hamlets 009A
E01004313,Tower Hamlets 009B
E01004319,Tower Hamlets 021A
E01032769,Tower Hamlets 025F
E01032775,Tower Hamlets 031F
E01032777,Tower Hamlets 035A
E01032782,Tower Hamlets 033D
E01032787,Tower Hamlets 011F
E01035667,Tower Hamlets 008H
E01035678,Tower Hamlets 018E
E01035681,Tower Hamlets 019F
E01035697,Tower Hamlets 026F
E01004205,Tower Hamlets 013A
E01004245,Tower Hamlets 018A
E01004315,Tower Hamlets 006C
E01004306,Tower Hamlets 015A
E01004292,Tower Hamlets 026A
E01004291,Tower Hamlets 027A
E01004290,Tower Hamlets 016D
E01004281,Tower Hamlets 031D
E01004256,Tower Hamlets 024C
E01004241,Tower Hamlets 012B
E01004222,Tower Hamlets 001A
E01004216,Tower Hamlets 030B
E01004211,Tower Hamlets 013D
E01032765,Tower Hamlets 004F
E01032781,Tower Hamlets 033C
E01035664,Tower Hamlets 006E
E01035665,Tower Hamlets 008F
E01035676,Tower Hamlets 014H
E01035679,Tower Hamlets 018F
E01035694,Tower Hamlets 024G
E01035696,Tower Hamlets 026E
E01004259,Tower Hamlets 007A
E01004267,Tower Hamlets 012D
E01004297,Tower Hamlets 027C
E01004322,Tower Hamlets 017A
E01032774,Tower Hamlets 032E
E01035659,Tower Hamlets 001G
E01035668,Tower Hamlets 009E
E01004248,Tower Hamlets 018C
E01004286,Tower Hamlets 019C
E01004228,Tower Hamlets 003A
E01004219,Tower Hamlets 035B
E01004203,Tower Hamlets 005C
E01032783,Tower Hamlets 031G
E01035657,Tower Hamlets 001E
E01004321,Tower Hamlets 021C
E01035691,Tower Hamlets 023F
E01004280,Tower Hamlets 032A
E01004307,Tower Hamlets 015B
E01035670,Tower Hamlets 010G
E01035705,Tower Hamlets 036D
E01004249,Tower Hamlets 018D
E01004208,Tower Hamlets 013C
E01004221,Tower Hamlets 036A
E01004309,Tower Hamlets 015D
E01004218,Tower Hamlets 030D
E01004270,Tower Hamlets 014B
E01032771,Tower Hamlets 033B
E01032780,Tower Hamlets 035D
E01004217,Tower Hamlets 030C
E01004293,Tower Hamlets 027B
E01004303,Tower Hamlets 025D
E01035702,Tower Hamlets 034C
E01004234,Tower Hamlets 003E
E01004223,Tower Hamlets 001B
E01004277,Tower Hamlets 033A
E01032764,Tower Hamlets 004E
E01004490,Wandsworth 031A
E01004512,Wandsworth 019B
E01004513,Wandsworth 018B
E01004531,Wandsworth 033A
E01004532,Wandsworth 032A
E01004535,Wandsworth 007A
E01004538,Wandsworth 007C
E01004541,Wandsworth 007D
E01004542,Wandsworth 021D
E01004580,Wandsworth 004C
E01004596,Wandsworth 020E
E01004599,Wandsworth 025E
E01004611,Wandsworth 032B
E01004627,Wandsworth 019F
E01004633,Wandsworth 022D
E01004637,Wandsworth 028E
E01004587,Wandsworth 009D
E01004586,Wandsworth 009C
E01004584,Wandsworth 003D
E01004577,Wandsworth 003C
E01004566,Wandsworth 001B
E01004565,Wandsworth 005A
E01004557,Wandsworth 015B
E01004546,Wandsworth 027C
E01004544,Wandsworth 021E
E01004539,Wandsworth 003A
E01004527,Wandsworth 035C
E01004521,Wandsworth 037B
E01004518,Wandsworth 036B
E01004488,Wandsworth 029B
E01004487,Wandsworth 030C
E01004481,Wandsworth 029A
E01004480,Wandsworth 026C
E01004478,Wandsworth 017B
E01004475,Wandsworth 026B
E01033100,Wandsworth 039B
E01033135,Wandsworth 010G
E01035488,Wandsworth 004H
E01035489,Wandsworth 004I
E01035492,Wandsworth 010J
E01035494,Wandsworth 018E
E01035495,Wandsworth 018F
E01035497,Wandsworth 038B
E01004473,Wandsworth 026A
E01004482,Wandsworth 030A
E01004485,Wandsworth 030B
E01004491,Wandsworth 031B
E01004494,Wandsworth 018A
E01004495,Wandsworth 024A
E01004498,Wandsworth 031D
E01004508,Wandsworth 012A
E01004516,Wandsworth 036A
E01004520,Wandsworth 036D
E01004522,Wandsworth 037C
E01004530,Wandsworth 035F
E01004540,Wandsworth 003B
E01004549,Wandsworth 027D
E01004550,Wandsworth 017D
E01004555,Wandsworth 017E
E01004556,Wandsworth 009B
E01004567,Wandsworth 039A
E01004570,Wandsworth 023B
E01004579,Wandsworth 004B
E01004588,Wandsworth 008E
E01004589,Wandsworth 009E
E01004591,Wandsworth 005C
E01004598,Wandsworth 025D
E01004608,Wandsworth 006E
E01004612,Wandsworth 032C
E01004614,Wandsworth 034A
E01004616,Wandsworth 034C
E01004618,Wandsworth 032D
E01004620,Wandsworth 019C
E01004631,Wandsworth 022C
E01004634,Wandsworth 028B
E01004640,Wandsworth 011D
E01004643,Wandsworth 016C
E01004645,Wandsworth 016E
E01035499,Wandsworth 039C
E01004497,Wandsworth 024C
E01004515,Wandsworth 012D
E01004536,Wandsworth 008B
E01004592,Wandsworth 005D
E01004594,Wandsworth 020D
E01004597,Wandsworth 025C
E01004606,Wandsworth 006C
E01004607,Wandsworth 006D
E01004628,Wandsworth 022A
E01004630,Wandsworth 022B
E01004585,Wandsworth 008D
E01004582,Wandsworth 001C
E01004563,Wandsworth 039E
E01004559,Wandsworth 015D
E01004524,Wandsworth 037D
E01004472,Wandsworth 021A
E01033133,Wandsworth 004G
E01035493,Wandsworth 010K
E01004479,Wandsworth 017C
E01004489,Wandsworth 030D
E01004501,Wandsworth 014B
E01004502,Wandsworth 020B
E01004505,Wandsworth 014D
E01004525,Wandsworth 035A
E01004528,Wandsworth 035D
E01004529,Wandsworth 035E
E01004533,Wandsworth 033B
E01004545,Wandsworth 027B
E01004551,Wandsworth 012E
E01004571,Wandsworth 023C
E01004602,Wandsworth 010C
E01004623,Wandsworth 019E
E01004635,Wandsworth 028C
E01004641,Wandsworth 011E
E01004613,Wandsworth 033D
E01004590,Wandsworth 005B
E01004547,Wandsworth 029C
E01035491,Wandsworth 010I
E01004504,Wandsworth 020C
E01004511,Wandsworth 010B
E01004514,Wandsworth 012C
E01004581,Wandsworth 004D
E01004622,Wandsworth 024D
E01004632,Wandsworth 028A
E01004553,Wandsworth 015A
E01004526,Wandsworth 035B
E01004503,Wandsworth 014C
E01004506,Wandsworth 011A
E01004537,Wandsworth 007B
E01004548,Wandsworth 029D
E01004552,Wandsworth 008C
E01004583,Wandsworth 001D
E01004636,Wandsworth 028D
E01033099,Wandsworth 004E
E01004493,Wandsworth 019A
E01004500,Wandsworth 014A
E01004519,Wandsworth 036C
E01004574,Wandsworth 013B
E01004593,Wandsworth 025A
E01004615,Wandsworth 034B
E01004629,Wandsworth 020F
E01004543,Wandsworth 027A
E01004477,Wandsworth 017A
E01035498,Wandsworth 038E
E01004474,Wandsworth 021B
E01004476,Wandsworth 021C
E01004496,Wandsworth 024B
E01004517,Wandsworth 037A
E01004610,Wandsworth 033C
E01004625,Wandsworth 027E
E01004642,Wandsworth 016B
E01004644,Wandsworth 016D
E01004486,Wandsworth 026F
E01004499,Wandsworth 020A
E01004510,Wandsworth 012B
E01004534,Wandsworth 008A
E01004568,Wandsworth 013A
E01004601,Wandsworth 018D
E01004639,Wandsworth 011C
E01033098,Wandsworth 038C
E01004484,Wandsworth 026E
E01004523,Wandsworth 036E
E01004605,Wandsworth 006B
E01035496,Wandsworth 038A
E01004492,Wandsworth 031C
E01033132,Wandsworth 038D
E01004507,Wandsworth 014E
E01004558,Wandsworth 015C
E01004595,Wandsworth 025B
E01004609,Wandsworth 010E
E01004626,Wandsworth 027F
E01004638,Wandsworth 011B
E01004564,Wandsworth 039D
E01004569,Wandsworth 023A
E01004554,Wandsworth 009A
E01004624,Wandsworth 024E
E01004575,Wandsworth 013C
E01004576,Wandsworth 013D
E01004617,Wandsworth 034D
E01004572,Wandsworth 016A
E01004604,Wandsworth 006A
E01004621,Wandsworth 019D
E01004483,Wandsworth 026D
E01004619,Wandsworth 015E
E01035490,Wandsworth 010H
E01004560,Wandsworth 001A
E01004573,Wandsworth 023D
E01004651,Westminster 003A
E01004652,Westminster 017A
E01004653,Westminster 014A
E01004674,Westminster 005A
E01004676,Westminster 006A
E01004677,Westminster 005C
E01004693,Westminster 017B
E01004694,Westminster 016C
E01004695,Westminster 017C
E01004696,Westminster 017D
E01004698,Westminster 017E
E01004699,Westminster 017F
E01004700,Westminster 016E
E01004701,Westminster 007A
E01004705,Westminster 007D
E01004710,Westminster 002D
E01004711,Westminster 002E
E01004719,Westminster 004B
E01004722,Westminster 004E
E01004728,Westminster 003D
E01004729,Westminster 003E
E01004754,Westminster 010A
E01004756,Westminster 006E
E01004757,Westminster 010C
E01004760,Westminster 014E
E01032513,Westminster 010G
E01004753,Westminster 022E
E01004752,Westminster 022D
E01004748,Westminster 020E
E01004746,Westminster 021D
E01004743,Westminster 021B
E01004742,Westminster 022A
E01004741,Westminster 024F
E01004740,Westminster 021A
E01004737,Westminster 024C
E01004732,Westminster 020B
E01004724,Westminster 001C
E01004686,Westminster 015E
E01004684,Westminster 015C
E01004680,Westminster 015A
E01004670,Westminster 009A
E01004668,Westminster 023D
E01004665,Westminster 024A
E01004660,Westminster 008B
E01004659,Westminster 008A
E01033593,Westminster 015F
E01033597,Westminster 023F
E01033599,Westminster 023G
E01033601,Westminster 009G
E01033602,Westminster 009H
E01033603,Westminster 009I
E01033605,Westminster 009K
E01035715,Westminster 007H
E01004654,Westminster 014B
E01004656,Westminster 014D
E01004675,Westminster 005B
E01004678,Westminster 005D
E01004679,Westminster 005E
E01004682,Westminster 016B
E01004683,Westminster 015B
E01004697,Westminster 016D
E01004707,Westminster 006C
E01004708,Westminster 006D
E01004709,Westminster 007E
E01004715,Westminster 013A
E01004718,Westminster 004A
E01004723,Westminster 005F
E01004744,Westminster 020D
E01004747,Westminster 021E
E01004749,Westminster 022B
E01004751,Westminster 022C
E01033598,Westminster 009F
E01033604,Westminster 009J
E01035717,Westminster 014H
E01004702,Westminster 009E
E01004706,Westminster 006B
E01004712,Westminster 008C
E01004657,Westminster 012A
E01035719,Westminster 021F
E01004647,Westminster 001A
E01004681,Westminster 016A
E01004703,Westminster 007B
E01004720,Westminster 004C
E01004721,Westminster 004D
E01004755,Westminster 010B
E01004663,Westminster 012E
E01035720,Westminster 021G
E01035722,Westminster 024G
E01004692,Westminster 019F
E01004717,Westminster 011D
E01004726,Westminster 003C
E01004662,Westminster 012D
E01004661,Westminster 012C
E01004658,Westminster 012B
E01035721,Westminster 023H
E01004649,Westminster 001B
E01004650,Westminster 002C
E01004669,Westminster 024B
E01004716,Westminster 011C
E01004750,Westminster 023E
E01004646,Westminster 002A
E01033594,Westminster 015G
E01032512,Westminster 010F
E01004648,Westminster 002B
E01004713,Westminster 011A
E01004714,Westminster 011B
E01004765,Westminster 013D
E01004725,Westminster 003B
E01004687,Westminster 019A
E01004690,Westminster 019D
E01004691,Westminster 019E
E01004730,Westminster 001D
E01004762,Westminster 011E
E01004734,Westminster 018A
E01004763,Westminster 013B
E01004735,Westminster 018B
E01004733,Westminster 020C
E01004761,Westminster 018D
E01004727,Westminster 008D
E01035716,Westminster 013G
E01004731,Westminster 020A
E01004736,Westminster 018C
E01035718,Westminster 019G
